[19/Dec/2019 15:16:51] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\lib\site-packages\widget_tweaks\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\myapp\locale with glob **/*.mo.
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\template\engine.py first seen with mtime 1576533117.3756359
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\myapp\views.py first seen with mtime 1576733777.244944
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\pathlib.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\__init__.py first seen with mtime 1576532978.9691203
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1576533117.3716388
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\pkgutil.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\importlib\machinery.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1576533116.8719444
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\mysite\urls.py first seen with mtime 1576712871.5240417
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1576533063.7786007
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\inspect.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\email\iterators.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\tokenize.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\email\_policybase.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1576533116.9748833
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\myapp\__init__.py first seen with mtime 1576535594.6707973
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1576533117.109798
